,cited_paper,source_paper
3,"/scholar?cites=1279308286886553219&as_sdt=5,33&sciodt=0,33&hl=en","/scholar?cites=1279308286886553219&as_sdt=5,33&sciodt=0,33&hl=en"
4,"/scholar?cites=1279308286886553219&as_sdt=5,33&sciodt=0,33&hl=en","/scholar?cites=4914628925230473103&as_sdt=5,33&sciodt=0,33&hl=en"
5,"/scholar?cites=14742408706547850320&as_sdt=5,33&sciodt=0,33&hl=en","/scholar?cites=1486285274983996239&as_sdt=5,33&sciodt=0,33&hl=en"
6,"/scholar?cites=9860043691267068964&as_sdt=5,33&sciodt=0,33&hl=en","/scholar?cites=9893533541972366892&as_sdt=5,33&sciodt=0,33&hl=en"
7,"/scholar?cites=5466665393835199140&as_sdt=5,33&sciodt=0,33&hl=en","/scholar?cites=18042606018845019169&as_sdt=5,33&sciodt=0,33&hl=en"
8,"/scholar?cites=9893533541972366892&as_sdt=5,33&sciodt=0,33&hl=en","/scholar?cites=14742408706547850320&as_sdt=5,33&sciodt=0,33&hl=en"
9,"/scholar?cites=1486285274983996239&as_sdt=5,33&sciodt=0,33&hl=en","/scholar?cites=7377228647384146331&as_sdt=5,33&sciodt=0,33&hl=en"
10,"/scholar?cites=5176088357608984070&as_sdt=5,33&sciodt=0,33&hl=en","/scholar?cites=14742408706547850320&as_sdt=5,33&sciodt=0,33&hl=en"
11,"/scholar?cites=17429871908973328912&as_sdt=5,33&sciodt=0,33&hl=en","/scholar?cites=10561492306655289987&as_sdt=5,33&sciodt=0,33&hl=en"
